timestamp,open,high,low,close,volume,sma_5,sma_10,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi,bb_mid,bb_upper,bb_lower,bb_width,atr,stoch_rsi,momentum_5,momentum_10,volatility_10,label
2026-05-12 13:00:00+00:00,4705.8,4709.058,4676.876,4679.461,24041,4697.0806,4701.4619999999995,4718.89345,4707.22588,4704.376713282075,4708.699438860119,-4.322725578043901,0.11545057514090264,-4.438176153184804,16.841028572287613,4718.89345,4762.577511983271,4675.209388016729,0.018514536276834574,19.922285714285604,0.0,-0.0051301229209768096,-0.00866102131539559,0.0023323119720953882,1
2026-05-12 14:00:00+00:00,4679.395,4695.074,4669.182,4673.006,21914,4691.8106,4697.3351999999995,4716.3688,4706.29404,4699.549486728222,4706.002232506475,-6.4527457782523925,-1.1982036948179626,-5.25454208343443,18.48043180430102,4716.3688,4764.538198154521,4668.19940184548,0.020426476468303506,19.966428571428487,0.03328449695505723,-0.005607151277749467,-0.008753839933784091,0.0023343645309331865,1
2026-05-12 15:00:00+00:00,4673.034,4676.049,4638.041,4666.218,23046,4686.205800000001,4692.5112,4713.4253499999995,4705.26264,4694.420699968127,4703.000379905346,-8.579679937218316,-2.6745124284707296,-5.905167508747587,21.161661027840765,4713.4253499999995,4766.314906494843,4660.535793505156,0.022442089379794007,20.150714285714198,0.09014638000704377,-0.005969866913550725,-0.010232353326723787,0.002316962359028847,1
2026-05-12 16:00:00+00:00,4665.982,4675.105,4664.051,4670.982,10502,4679.0462,4689.9173,4710.2962,4704.19774,4690.814231020604,4700.587814231717,-9.773583211112964,-4.094336960378567,-5.679246250734397,22.45440517577903,4710.2962,4765.522434225946,4655.069965774053,0.023449155586413622,20.106428571428427,0.1438985024557243,-0.007605624227178587,-0.00552255403060864,0.0021857217268182734,1
2026-05-12 17:00:00+00:00,4671.041,4682.386,4671.041,4678.975,9101,4673.7284,4687.8175,4707.483900000001,4702.82188,4688.992590709578,4698.961375911726,-9.968785202147956,-5.2692334771851765,-4.699551724962779,30.42482515828013,4707.483900000001,4763.093046892066,4651.874753107936,0.023625846874193203,19.84735714285703,0.46964218792731016,-0.0056505447593530045,-0.004467685239893826,0.0022745071471964922,1
2026-05-12 18:00:00+00:00,4679.032,4698.286,4676.239,4695.858,9677,4677.0078,4687.0442,4704.72625,4702.42166,4690.048915545136,4698.728111342749,-8.67919579761292,-5.951229130831571,-2.7279666667813487,42.09478021978006,4704.72625,4756.590957058492,4652.861542941508,0.022047917052981376,20.028999999999932,0.8731157818817328,0.003504036041757752,-0.001644063014832775,0.002597219323731983,1
2026-05-12 19:00:00+00:00,4696.229,4715.922,4696.213,4715.826,7268,4685.5718,4688.6912,4702.13565,4702.59438,4694.014964024848,4700.011870185455,-5.996906160607068,-5.9603645709664095,-0.03654158964065868,50.50196677038704,4702.13565,4745.198258585885,4659.073041414115,0.018316191531345907,20.51942857142844,0.9999999999970292,0.009163266642499446,0.003504735542487092,0.002924801692927281,0
2026-05-12 20:00:00+00:00,4715.769,4719.532,4712.144,4715.207,4668,4695.3696,4690.7877,4700.4266,4702.6533,4697.27551597965,4701.15161461195,-3.8760986323004545,-5.5435101355231335,1.667411503222679,57.660918673436946,4700.4266,4737.949933929984,4662.903266070016,0.015965926977770016,19.60199999999986,0.9999999999975502,0.010498652227564298,0.004466109757443215,0.0028877995302972067,0
2026-05-12 22:00:00+00:00,4717.009,4722.45,4711.765,4717.151,4928,4704.603400000001,4691.8248,4699.9217499999995,4702.5825,4700.3334722011205,4702.350565217787,-2.017093016666877,-4.838225022929554,2.821132006262677,57.26416211370286,4699.9217499999995,4736.175892081322,4663.667607918677,0.01542755135500809,19.126071428571258,0.9902803128854591,0.00988421706613285,0.0022034171981695216,0.0027811033434691117,0
2026-05-12 23:00:00+00:00,4717.102,4723.753,4715.421,4716.741,6439,4712.1566,4692.9425,4699.2464,4702.47588,4702.857839578591,4703.428015349473,-0.5701757708820878,-3.9846135373253166,3.414437766443229,55.71590019994774,4699.2464,4733.573946602509,4664.918853397491,0.014609809182386711,19.020214285714115,0.9523512074930922,0.008071425899903284,0.002375273187231075,0.0027783293406630247,0
2026-05-13 00:00:00+00:00,4717.13,4727.105,4713.73,4714.697,11725,4715.9244,4696.466100000001,4698.9640500000005,4702.293119999999,4704.67932966962,4704.2710809461505,0.40824872346911434,-3.1060397387560017,3.514288462225116,56.79773837059909,4698.9640500000005,4732.647796037925,4665.280303962076,0.014336668967673723,19.185714285714116,0.9788539287882247,0.004011833407228327,0.0075299270578383926,0.001938216125882548,0
2026-05-13 01:00:00+00:00,4714.46,4717.141,4701.066,4702.631,14458,4713.2854,4699.428600000001,4698.381899999999,4702.04292,4704.364190200118,4704.148472297229,0.21571790288908232,-2.441687395933383,2.6574052988224652,53.50151513886697,4698.381899999999,4731.346311527074,4665.417488472925,0.01403224013232081,18.657642857142687,0.8981035097264343,-0.0027980252027958175,0.006339602388697907,0.00211062193909073,0
2026-05-13 02:00:00+00:00,4702.518,4707.462,4687.544,4692.004,10351,4708.6448,4702.0072,4697.2591999999995,4702.04252,4702.4625620843535,4703.24119992396,-0.7786378396067448,-2.1090771584448835,1.3304393188381387,43.73260943332205,4697.2591999999995,4729.438390860914,4665.080009139085,0.013701262583471992,18.478214285714134,0.6587862141307281,-0.004920886824268833,0.005526102723876214,0.0022122840730353344,1
2026-05-13 03:00:00+00:00,4691.939,4705.964,4688.939,4696.138,7815,4704.4421999999995,4704.522800000001,4697.220050000001,4702.13086,4701.4895263850185,4702.710879374707,-1.2213529896880573,-1.9315321853850358,0.7101791956969785,46.09844533849881,4697.220050000001,4729.402878363325,4665.037221636677,0.013702925569060364,18.103499999999844,0.7167441336476246,-0.004454595581103948,0.005385591295363534,0.0022094399518126414,1
2026-05-13 04:00:00+00:00,4696.091,4703.468,4695.423,4699.391,6259,4700.9722,4706.5644,4697.190949999999,4702.449420000001,4701.166668830719,4702.46316420778,-1.2964953770615466,-1.8045247439964747,0.5080293669349281,60.17376567158058,4697.190949999999,4729.364348462411,4665.017551537588,0.013698995337803575,16.379428571428434,0.9999999999976015,-0.003678387259338667,0.004363348810369594,0.0021725912152723275,1
2026-05-13 05:00:00+00:00,4699.626,4707.429,4693.446,4703.883,9825,4698.8094,4707.3669,4697.20555,4702.81072,4701.584573974209,4702.569048916602,-0.9844749423928079,-1.6405147013151233,0.6560397589223155,66.08428400270856,4697.20555,4729.391439621484,4665.019660378515,0.013704271307217724,15.528785714285602,0.9999999999977739,-0.002293678681790201,0.001708952868676894,0.0018854213724141676,0
2026-05-13 06:00:00+00:00,4703.916,4715.2,4699.096,4701.72,10198,4698.6272,4705.9563,4697.32375,4703.21366,4701.605409086605,4702.5057625438385,-0.9003534572339049,-1.4924823930291928,0.5921289357952879,69.42972854641029,4697.32375,4729.560215065937,4665.087284934062,0.013725460190363678,13.964214285714206,0.9999999999978711,-0.00019372134449846534,-0.002991204510090051,0.0012259719416352287,0
2026-05-13 07:00:00+00:00,4701.784,4708.932,4696.602,4702.991,9030,4700.8246,4704.734699999999,4697.7612,4703.6963399999995,4701.818579855955,4702.541914382857,-0.7233345269014535,-1.3386527703647106,0.6153182434632571,68.21446049142489,4697.7612,4730.058973327846,4665.463426672154,0.013750283146723503,14.055357142857117,0.9688431979182363,0.002341643357507861,-0.0025907664287061483,0.0012385839007670095,0
2026-05-13 08:00:00+00:00,4702.932,4704.373,4694.328,4700.74,8094,4701.745,4703.0936,4697.459199999999,4704.26738,4701.652642559313,4702.407723250935,-0.7550806916224246,-1.2219383246077922,0.46685763298536753,63.25114155251135,4697.459199999999,4729.513938331732,4665.404461668267,0.013647692067972643,13.958285714285596,0.7739674895248645,0.0009799541665937994,-0.0034790067140102465,0.0012168086938053253,0
2026-05-13 09:00:00+00:00,4700.635,4701.912,4685.9,4700.74,8568,4702.0148,4701.4935,4697.218,4705.23546,4701.512234626899,4702.283574854325,-0.7713402274257533,-1.13181868663485,0.3604784592090968,53.7414548910209,4697.218,4729.088022218545,4665.347977781455,0.01356974371576762,13.527214285714178,0.38949290049257423,0.0002870584720446878,-0.003392384699520301,0.0012191871795472606,0
2026-05-13 10:00:00+00:00,4700.804,4710.635,4693.737,4693.94,8519,4700.026199999999,4699.4178,4697.94195,4705.549480000001,4700.347265731261,4701.662692086918,-1.3154263556562,-1.1685402264816664,-0.1468861291745336,28.985674232821594,4697.94195,4728.753838221578,4667.130061778423,0.013117185588714072,13.301071428571374,0.0,-0.0021137855682210605,-0.004402615905115592,0.0012689780572256839,1
2026-05-13 11:00:00+00:00,4694.305,4705.412,4691.37,4697.546,8423,4699.191400000001,4698.9093,4699.16895,4706.14646,4699.916298729293,4701.356454838558,-1.4401561092654447,-1.2228634101895457,-0.217292699075899,33.96233268556678,4699.16895,4727.6673848931305,4670.67051510687,0.012129138235444908,13.77635714285712,0.12305043441356432,-0.0008877602239180105,-0.0010813095903122738,0.0010727406258030428,0
2026-05-13 12:00:00+00:00,4697.484,4701.516,4675.918,4683.894,16526,4695.372,4698.0983,4700.052750000001,4706.47336,4697.451314965262,4700.057846735256,-2.606531769994035,-1.4995971112939037,-1.1069346587001314,25.09547844059408,4700.052750000001,4725.140808395435,4674.964691604567,0.010675649712839505,14.84157142857144,0.0,-0.004060607387936677,-0.0017284725247462829,0.0012254376409473826,1
2026-05-13 13:00:00+00:00,4683.833,4694.765,4669.407,4679.482,18001,4691.1204,4696.4327,4700.47775,4706.92662,4694.686790993359,4698.528155123325,-3.8413641299657684,-1.967950554486976,-1.8734135754787924,23.67636461262404,4700.47775,4723.711733512136,4677.243766487864,0.009885796613816814,16.05771428571435,0.0,-0.004522266706944,-0.0035467441544519973,0.0011862959557170914,1
2026-05-13 14:00:00+00:00,4679.541,4690.989,4672.637,4679.937,15355,4686.9598,4694.4873,4700.52585,4707.24576,4692.4175826711025,4697.146386540828,-4.728803869725198,-2.5201212547508516,-2.208682614974346,24.87785840247473,4700.52585,4723.575651152472,4677.476048847528,0.009807328749174884,16.41321428571434,0.026260228462913666,-0.004425473436097227,-0.004139685333695353,0.0011420030244749916,1
2026-05-13 15:00:00+00:00,4679.995,4700.24,4678.796,4695.346,11149,4687.241,4693.633599999999,4700.50025,4707.66522,4692.868110044887,4697.012608084899,-4.1444980400119675,-2.84499662932032,-1.2995014106916476,44.977593933126016,4700.50025,4723.573005625586,4677.427494374414,0.009817148983487903,16.79671428571432,0.46556640843463043,0.0002995351453149997,-0.0018148835759733695,0.001600497592252786,0
2026-05-13 16:00:00+00:00,4695.642,4710.041,4695.045,4695.778,10072,4686.8874,4693.0394,4699.49785,4707.5796,4693.315786793837,4696.920891244992,-3.605104451155057,-2.9970182002448573,-0.6080862509101999,53.02743462217254,4699.49785,4721.483477671637,4677.512222328362,0.009356585904869518,16.445142857142855,0.6415062737673428,-0.0003763667242427937,-0.001263792824753529,0.001599308733444296,1
2026-05-13 17:00:00+00:00,4695.835,4701.394,4684.606,4685.686,8291,4687.2458,4691.3089,4698.0218,4706.56628,4692.141970398662,4696.086449840464,-3.9444794418022866,-3.18651045509548,-0.7579689867068065,42.34711808809747,4698.0218,4719.525349274726,4676.518250725275,0.009154299486105247,16.428214285714343,0.4080738959970839,0.00038258765036092157,-0.003679573275815362,0.0017118608055901009,1
2026-05-13 18:00:00+00:00,4685.754,4694.0,4677.447,4684.803,7747,4688.31,4689.7152,4696.4044,4705.74842,4691.012895553523,4695.248567980729,-4.235672427205827,-3.39634285531039,-0.8393295718954374,38.934737097606565,4696.4044,4716.680926354643,4676.127873645358,0.008634914980763818,17.035928571428617,0.3334918172799473,0.0011370916695481181,-0.0033903172691959194,0.0017122224275033162,1
2026-05-13 19:00:00+00:00,4684.86,4690.597,4683.209,4688.108,6115,4689.9442,4688.451999999999,4694.97275,4704.87226,4690.5659877159815,4694.718423861477,-4.1524361454958125,-3.547561516687227,-0.6048746288085853,37.81495728476368,4694.97275,4713.136703567725,4676.808796432275,0.007737618314280952,16.564857142857168,0.3090175553554914,0.0017459636742973572,-0.0026872364776608926,0.0017419815925805047,1
2026-05-13 20:00:00+00:00,4688.203,4693.608,4685.937,4688.868,3781,4688.6486,4687.9448,4693.681299999999,4704.32312,4690.304758426425,4694.284138947789,-3.9793805213639644,-3.6339253191484913,-0.3454552022154731,39.85282971197621,4693.681299999999,4709.456222244863,4677.9063777551355,0.0067217696458699815,15.962500000000025,0.3632051343940703,-0.0013796640332787158,-0.001080542145830421,0.0016946529176950203,0
2026-05-13 22:00:00+00:00,4691.736,4700.714,4688.85,4700.261,3771,4689.5452000000005,4688.2163,4693.562800000001,4703.85836,4691.83648993435,4694.727739694277,-2.891249759927632,-3.4853902052048085,0.5941404452771764,48.14159292035434,4693.562800000001,4709.088285284048,4678.0373147159535,0.006615650389954145,15.929214285714286,0.6182025572710188,0.0009546873808770062,0.0005779613440719533,0.0018630698060481691,0
2026-05-13 23:00:00+00:00,4700.198,4702.327,4693.166,4696.736,3896,4691.7552,4689.5005,4693.7994,4703.29134,4692.590261561074,4694.876770441653,-2.2865088805792766,-3.2456139375683546,0.959105056989078,47.3208072373001,4693.7994,4709.369026590523,4678.229773409476,0.006634125263437339,15.866071428571493,0.7864417637084905,0.002358245943069992,0.0027417358292052274,0.001585870249611339,1
2026-05-14 00:00:00+00:00,4696.37,4706.937,4689.57,4705.178,9777,4695.830199999999,4692.0701,4694.251399999999,4702.7236,4694.526838547693,4695.641110109151,-1.1142715614578265,-2.8193454584901154,1.705073897032289,52.668157660582416,4694.251399999999,4710.611688575499,4677.891111424499,0.006970350405817597,15.962857142857176,0.9877593232010956,0.004349169004545184,0.005491206077937738,0.0015888995347305148,0
2026-05-14 01:00:00+00:00,4705.099,4707.063,4683.476,4688.889,20101,4695.9864,4692.9653,4693.7263,4701.79696,4693.659478072983,4695.140173638461,-1.480695565478527,-2.5516154779502345,1.0709199124717075,47.274297123738954,4693.7263,4710.066149230765,4677.386450769235,0.006962420979154724,16.44064285714291,0.8039888325487836,0.00016659172527599964,0.0019128462626740728,0.0020368122254192733,1
2026-05-14 02:00:00+00:00,4688.658,4699.588,4679.956,4686.501,12283,4695.513000000001,4692.080800000001,4692.8572,4700.50676,4692.558173003994,4694.499310693028,-1.9411376890338943,-2.4295199194600814,0.4883822304261871,43.96032240777811,4692.8572,4708.765790232949,4676.9486097670515,0.006779916607285165,16.839928571428572,0.6910806927476979,-0.0005048126754688687,-0.0018837802368556478,0.0017249100483495666,1
2026-05-14 03:00:00+00:00,4686.588,4693.223,4674.096,4674.85,11305,4690.4308,4689.987999999999,4691.5137,4698.651,4689.833837125674,4693.041860161333,-3.208023035658698,-2.5852205434209607,-0.6228024922377373,44.94387047721292,4691.5137,4708.753528966054,4674.273871033947,0.007349367418900731,16.37771428571432,0.7245904785616901,-0.005406295522737969,-0.004456769463973775,0.0018654778217774058,1
2026-05-14 04:00:00+00:00,4674.936,4712.871,4667.978,4702.574,11405,4691.598400000001,4691.6768,4691.49285,4697.71472,4691.793863139034,4693.7488186255005,-1.9549554864661332,-2.459167531562925,0.504212045096792,60.240536417497225,4691.49285,4708.675146363587,4674.310553636412,0.007324873729089341,17.773071428571452,0.9999999999971722,0.0012429908770685838,0.0036041680983318614,0.002635957038727469,0
2026-05-14 05:00:00+00:00,4702.645,4704.316,4689.202,4689.958,11248,4688.5544,4692.192300000001,4690.953750000001,4696.96892,4691.511422539567,4693.467695430898,-1.9562728913306273,-2.358588603218322,0.40231571188769477,54.01132024113542,4690.953750000001,4707.582084218874,4674.325415781127,0.0070895323659388165,17.541785714285716,0.7222271879997277,-0.0032347341588352396,0.00110036644016831,0.002806436087299942,1
